iter	Passed	Remaining
399	79836	81433
400	79891	81087
401	80136	80934
402	80243	80641
403	80490	80490
404	80597	80199
405	80699	79904
406	80925	79732
407	81171	79579
408	81410	79419
409	81628	79239
410	81659	78877
411	81883	78703
412	82108	78529
413	82350	78372
414	82567	78190
415	82805	78028
416	82818	77654
417	82922	77367
418	82986	77044
419	83089	76758
420	83319	76590
421	83576	76447
422	83808	76279
423	84036	76108
424	84143	75828
425	84176	75481
426	84410	75317
427	84642	75149
428	84871	74979
429	85091	74801
430	85150	74481
431	85406	74335
432	85650	74177
433	85682	73836
434	85925	73678
435	86162	73514
436	86392	73344
437	86429	73011
438	86647	72831
439	86863	72649
440	87105	72488
441	87357	72336
442	87598	72174
443	87828	72003
444	88051	71826
445	88290	71661
446	88405	71396
447	88426	71057
448	88654	70884
449	88886	70713
450	89137	70559
451	89251	70295
452	89491	70131
453	89547	69823
454	89800	69669
455	90017	69486
456	90242	69310
457	90358	69051
458	90593	68882
459	90704	68619
460	90944	68455
461	91171	68280
462	91229	67979
463	91262	67659
464	91283	67333
465	91533	67177
466	91761	67003
467	91996	66835
468	92028	66519
469	92259	66348
470	92535	66208
471	92688	65981
472	92904	65799
473	93130	65623
474	93143	65298
475	93380	65130
476	93622	64966
477	93851	64792
478	94094	64628
479	94331	64460
480	94344	64138
481	94378	63832
482	94598	63653
483	94843	63490
484	95063	63310
485	95170	63055
486	95181	62737
487	95425	62574
488	95657	62402
489	95877	62222
490	96111	62051
491	96352	61884
492	96458	61631
493	96469	61318
494	96687	61137
495	96931	60972
496	97165	60801
497	97394	60626
498	97407	60318
499	97420	60010
500	97474	59730
501	97718	59565
502	97780	59290
503	98037	59133
504	98141	58884
505	98173	58593
506	98400	58419
507	98628	58244
508	98860	58073
509	99121	57918
510	99155	57630
511	99190	57344
512	99421	57172
513	99668	57008
514	99939	56858
515	100212	56709
516	100250	56427
517	100274	56138
518	100597	56016
519	100935	55902
520	100989	55631
521	101293	55497
522	101331	55218
523	101407	54961
524	101472	54698
525	101749	54550
526	101991	54382
527	102251	54224
528	102337	53973
529	102663	53849
530	102780	53616
531	102816	53340
532	102851	53065
533	103117	52910
534	103179	52650
535	103423	52483
536	103683	52324
537	103912	52149
538	103948	51877
539	104203	51715
540	104464	51556
541	104720	51394
542	104828	51159
543	105047	50979
544	105293	50811
545	105525	50636
546	105536	50356
547	105548	50077
548	105776	49901
549	106012	49729
550	106229	49547
551	106241	49271
552	106355	49042
553	106418	48791
554	106527	48561
555	106742	48379
556	106972	48204
557	107073	47971
558	107310	47800
559	107548	47628
560	107786	47456
561	108006	47276
562	108239	47102
563	108484	46933
564	108543	46683
565	108778	46509
566	109026	46341
567	109261	46166
568	109501	45994
569	109737	45820
570	109842	45591
571	110079	45417
572	110326	45247
573	110601	45088
574	110826	44908
575	111073	44737
576	111319	44566
577	111552	44389
578	111789	44213
579	111848	43967
580	112096	43796
581	112343	43624
582	112376	43369
583	112627	43199
