iter	MultiClass
0	2.151812
1	2.106456981
2	2.059777894
3	2.016787454
4	1.976224248
5	1.934776123
6	1.901649212
7	1.869588467
8	1.833868174
9	1.800473983
10	1.767953962
11	1.737151097
12	1.705353847
13	1.677199829
14	1.650570842
15	1.622888502
16	1.60119219
17	1.575440186
18	1.549845585
19	1.526318173
20	1.505747583
21	1.482417807
22	1.460109697
23	1.441872792
24	1.420678508
25	1.401875709
26	1.381470434
27	1.361980349
28	1.342560015
29	1.324508779
30	1.30589767
31	1.287674763
32	1.269147928
33	1.254022416
34	1.236994605
35	1.222203057
36	1.205946139
37	1.190402547
38	1.174680762
39	1.163257832
40	1.149198546
41	1.135574869
42	1.123544946
43	1.110416368
44	1.097487766
45	1.084150835
46	1.07207877
47	1.059437081
48	1.047144045
49	1.035822121
50	1.024032873
51	1.012877461
52	1.001269653
53	0.9897166234
54	0.9787303466
55	0.9684954657
56	0.9587373314
57	0.9482117958
58	0.9374158523
59	0.9282199959
60	0.918823083
61	0.9095034249
62	0.89973959
63	0.8905166379
64	0.8810194535
65	0.8717961385
66	0.8627145551
67	0.8536923889
68	0.846276165
69	0.8375730426
70	0.8295287199
71	0.821089882
72	0.8129044936
73	0.8045353558
74	0.7962783847
75	0.7885662624
76	0.7812490582
77	0.7735387443
78	0.7661878257
79	0.759081816
80	0.7520229472
81	0.7445151396
82	0.737398821
83	0.7305233346
84	0.7235732192
85	0.7166997423
86	0.7102599783
87	0.7035472056
88	0.6976796411
89	0.6912219431
90	0.6848776226
91	0.6786953659
92	0.6724143748
93	0.6664087366
94	0.6607723751
95	0.6549931979
96	0.649290439
97	0.6436555686
98	0.6380373816
99	0.6324440798
100	0.6267611756
101	0.6213292693
102	0.6158046867
103	0.6107863944
104	0.6056001168
105	0.6006395846
106	0.5955868179
107	0.5907120988
108	0.5858799485
109	0.5812183565
110	0.57654486
111	0.571599922
112	0.5669315525
113	0.5624794248
114	0.5579727459
115	0.5534050245
116	0.5489006605
117	0.5447786255
118	0.5402947254
119	0.5357553413
120	0.5315616471
121	0.5272942543
122	0.5230313312
123	0.5189805917
124	0.5147792544
125	0.510707113
126	0.5069306585
127	0.5029715041
128	0.4991008319
129	0.4953847634
130	0.4917771132
131	0.4881848803
132	0.4843434507
133	0.480639487
134	0.4771658044
135	0.4737890375
136	0.4704018973
137	0.4666602477
138	0.463723533
139	0.4601941362
140	0.4568151486
141	0.4538982896
142	0.4507318192
143	0.4475720643
144	0.4443170873
145	0.4408992407
146	0.4376100522
147	0.4347224993
148	0.4317984812
149	0.4285718162
150	0.4255785267
151	0.4224361402
152	0.4194418687
153	0.4163685633
154	0.4134310967
155	0.4105855418
156	0.4078817477
157	0.4050852883
158	0.4024110168
159	0.3995530315
160	0.396954558
161	0.3942911873
162	0.3916336622
163	0.388902104
164	0.3863550111
165	0.3836358087
166	0.3810803153
167	0.3785198996
168	0.3762043334
169	0.373901487
170	0.3713497966
171	0.3688366342
172	0.366552999
173	0.3640409883
174	0.3616824766
175	0.3592906215
176	0.3569226301
177	0.3547561967
178	0.3525884748
179	0.3504304639
180	0.3481834294
181	0.3459448842
182	0.3438169476
183	0.3416381528
184	0.339453963
185	0.3372946623
186	0.3351441014
187	0.3329449254
188	0.3308919166
189	0.3287717815
190	0.3267495649
191	0.3247101377
192	0.3227098822
193	0.3207687693
194	0.3188817391
195	0.3170250506
196	0.3149778129
197	0.3132109505
198	0.3112727065
199	0.3093739013
200	0.3075872949
201	0.3057693602
202	0.3038421446
203	0.3019781367
204	0.3002528227
205	0.2985386712
206	0.2967766404
207	0.2950224607
208	0.2932576202
209	0.2914969759
210	0.2897642164
211	0.28817077
212	0.2865678102
213	0.2848643452
214	0.2834167496
215	0.2818682376
216	0.2802457583
