iter	MultiClass
0	1.787180122
1	1.425011588
2	1.203410698
3	1.025177779
4	0.8967943715
5	0.80247616
6	0.7120514087
7	0.6392734056
8	0.5788769894
9	0.5199483166
10	0.4726791524
11	0.4315016206
12	0.3943040518
13	0.3629562369
14	0.3359056844
15	0.3111287434
16	0.289693131
17	0.270293539
18	0.255549526
19	0.2401783983
20	0.2272191365
21	0.2148733974
22	0.2035356606
23	0.1927765959
24	0.1851565673
25	0.1772650875
26	0.1714706299
27	0.1661764603
28	0.1602207349
29	0.1584779592
30	0.1531247003
31	0.1528175987
32	0.1479993704
33	0.1468002053
34	0.1459518873
35	0.1392583753
36	0.1349397995
37	0.1316888051
38	0.1283479877
39	0.1282668695
40	0.1277621648
41	0.127632003
42	0.1256307713
43	0.1254630227
44	0.1253999143
45	0.1252344507
46	0.1251326253
47	0.1211867005
48	0.1187832778
49	0.1181192717
50	0.1151594195
51	0.1149664911
52	0.1132280941
53	0.1115324137
54	0.1079809381
55	0.1066872222
56	0.1056082791
57	0.1035788627
58	0.1026006447
59	0.1021361088
60	0.1007989814
61	0.1005483876
62	0.100276925
63	0.1001427004
64	0.09996501207
65	0.09979224418
66	0.09942939364
67	0.09694765352
68	0.09665875545
69	0.09641660279
70	0.09500199764
71	0.09460100566
72	0.09459129003
73	0.09433374928
74	0.09412813119
75	0.09126745181
76	0.08941113908
77	0.08926482044
78	0.08813135347
79	0.08737318254
80	0.08724879374
81	0.08679774465
82	0.08443652933
83	0.08404890867
84	0.08372325014
85	0.08304140279
86	0.08221908495
87	0.08211162663
88	0.08183765369
89	0.08160700365
90	0.08099437205
91	0.08091044447
92	0.07966257943
93	0.07939676854
94	0.07927807591
95	0.07871788977
96	0.07808706769
97	0.0778478897
98	0.07647329795
99	0.07589235747
100	0.07572341495
101	0.07559118732
102	0.07541628061
103	0.07494467874
104	0.0746091878
105	0.07356349702
106	0.07342479318
107	0.07222230409
108	0.07209559508
109	0.0719619814
110	0.07125108653
111	0.07117396769
112	0.07108957885
113	0.06993201277
114	0.06986548942
115	0.06953191522
116	0.06934678865
117	0.06829000491
118	0.06694936969
119	0.06602445421
120	0.06544336241
121	0.06538620901
122	0.06528708206
123	0.06515003754
124	0.0650196917
125	0.06397467789
126	0.0639168613
127	0.06385293322
128	0.06371233816
129	0.06214592483
130	0.06163064416
131	0.06014624759
132	0.06006110655
133	0.0599864946
134	0.05970386445
135	0.0596525228
136	0.05958128944
137	0.05947818153
138	0.05901753787
139	0.05892643184
140	0.05885454381
141	0.05865328116
142	0.05851118584
143	0.05776802841
144	0.0562646529
145	0.05606082516
146	0.05581071211
147	0.05564397065
148	0.05545706312
149	0.05526574145
150	0.05515036833
151	0.05473652016
152	0.05334129692
153	0.05314024111
154	0.05279405558
155	0.05197711105
156	0.05128011872
157	0.0507614224
158	0.04993547131
159	0.04984485549
160	0.04975082282
161	0.04967192974
162	0.04953371388
163	0.04940336778
164	0.04937799222
165	0.04919360142
166	0.04912160719
167	0.04871129445
168	0.04862165712
169	0.04840977
170	0.04826264086
171	0.04782241896
172	0.04773084226
173	0.04764216622
174	0.0475692244
175	0.04753210891
176	0.04749355251
177	0.04716439612
178	0.04704218328
179	0.0468742368
180	0.0466640093
181	0.04577427931
182	0.0454852347
183	0.04525878094
184	0.04517794763
185	0.04502903427
186	0.04487336386
187	0.04475899811
188	0.04467518901
189	0.04458666508
190	0.04453138794
191	0.04413681083
192	0.0440818031
193	0.04402370278
194	0.04393986432
195	0.04377607394
